gpca,     p2,     Faulty_GPCA_Prop2-ROR-1--1-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     11,     89.513,     87.499,     19.035,     68.464,     19,     19,     1.001,     3.603,     p1 = ((((System_On and (not In_Therapy)) and (System_On xor System_On)) => ((System_On and System_On) xor (System_On or (not In_Therapy)))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0-ROR-3-1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     2,     617.892,     617.7,     3.829,     613.871,     5,     6,     0.765,     102.311,     p1 = ((((In_Therapy and In_Therapy) xor (System_On xor In_Therapy)) and Air_In_Line) => (out_Highest_Level_Alarm >= 1));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-2-0-ROR-3--1,     true,    0,    MINIMAL_FORALL_UNKNOWN,     1,     611.14,     611.012,     3.218,     607.794,     4,     5,     0.804,     121.558,     p1 = (((((not In_Therapy) or (not In_Therapy)) or ((not In_Therapy) => (not In_Therapy))) and Air_In_Line) => (out_Highest_Level_Alarm <= 255));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-0-LOR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     98.416,     96.933,     23.872,     73.061,     15,     15,     1.591,     4.87,     p1 = ((((System_On and System_On) and (System_On and System_On)) and ((System_On and System_On) and (System_On and System_On))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1--1-LOR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     70.288,     68.685,     28.69,     39.995,     15,     15,     1.912,     2.666,     p1 = ((((System_On and System_On) and (System_On and System_On)) and ((System_On and System_On) and (System_On and System_On))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-4-ROR-0-1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     2,     727.04,     721.083,     47.241,     673.842,     22,     23,     2.147,     29.297,     p1 = (((System_On and System_On) or ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0))) and (((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 0))));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-0-ROR-0-3,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1644.554,     1632.667,     232.509,     1400.158,     30,     31,     7.75,     45.166,     p1 = ((((not Air_In_Line) xor (out_Highest_Level_Alarm >= 5)) xor ((out_Highest_Level_Alarm < 4) xor System_On)) xor ((System_On and (out_Highest_Level_Alarm >= 1)) xor ((out_Highest_Level_Alarm < 4) xor Air_In_Line)));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1--1-LOR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     43.913,     42.869,     16.824,     26.045,     15,     15,     1.121,     1.736,     p1 = ((((System_On and System_On) and (System_On and System_On)) and ((System_On and System_On) and (System_On and System_On))) => (out_Highest_Level_Alarm > 0));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-0-LOR-0-3,     true,    3,    MINIMAL_FORALL_UNKNOWN,     2,     678.356,     674.201,     28.36,     645.841,     22,     23,     1.289,     28.08,     p1 = (((System_On and System_On) or ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0))) and (((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 0))));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-0-ROR-0-1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     2,     699.746,     694.307,     35.051,     659.256,     22,     23,     1.593,     28.663,     p1 = (((System_On and System_On) or ((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0))) and (((out_Highest_Level_Alarm < 5) and (out_Highest_Level_Alarm >= 0)) and ((out_Highest_Level_Alarm <= 4) and (out_Highest_Level_Alarm >= 0))));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-1-0-ROR-3-3,     true,    0,    TRUE_FOR_MAX_STEPS,     9,     58.106,     56.462,     14.969,     41.493,     17,     17,     0.88,     2.44,     p1 = ((((System_On xor System_On) xor (In_Therapy xor System_On)) or (((not In_Therapy) => (not In_Therapy)) and ((not In_Therapy) => (not In_Therapy)))) => (out_Highest_Level_Alarm < 5));,     
gpca,     p2,     Faulty_GPCA_Prop2-LOR-0-5-ROR-0-1,     true,    3,    MINIMAL_FORALL_UNKNOWN,     3,     1161.034,     1145.531,     233.421,     912.11,     34,     35,     6.865,     26.06,     p1 = (((System_On xor false) and (System_On xor (out_Highest_Level_Alarm >= 1))) xor ((false xor (out_Highest_Level_Alarm > 4)) xor ((out_Highest_Level_Alarm < 0) => System_On)));,     
