infusion,     p12,     Faulty_Prop12-ROR-1-2,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     17.3,     17.147,     5.639,     11.508,     10,     10,     0.563,     1.15,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-LOR-0-1,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     745.968,     741.162,     689.365,     51.797,     45,     46,     15.319,     1.126,     p1 = ((System_On xor false) xor ((Commanded_Flow_Rate >= 0) => (Current_System_Mode < 1)));,     
infusion,     p12,     Faulty_Prop12-ROR-1--1,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     18.626,     18.44,     6.137,     12.303,     11,     11,     0.557,     1.118,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-ROR-1-0,     true,    1,    TRUE_FOR_MAX_STEPS,     3,     18.112,     17.958,     6.14,     11.818,     11,     11,     0.558,     1.074,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 5)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     8.111,     8.047,     2.513,     5.534,     5,     5,     0.502,     1.106,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     180.164,     179.422,     156.394,     23.028,     21,     21,     7.447,     1.096,     p1 = ((System_On and (Current_System_Mode > 1)) or ((Commanded_Flow_Rate = 0) and (Commanded_Flow_Rate <= Current_System_Mode)));,     
infusion,     p12,     Faulty_Prop12-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     183.403,     182.637,     159.098,     23.539,     21,     21,     7.576,     1.12,     p1 = ((System_On and (Current_System_Mode > 1)) or ((Commanded_Flow_Rate = 0) and (Commanded_Flow_Rate <= Current_System_Mode)));,     
infusion,     p12,     Faulty_Prop12-LOR-0--1,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     185.401,     184.648,     161.503,     23.145,     21,     21,     7.69,     1.102,     p1 = ((System_On and (Current_System_Mode > 1)) or ((Commanded_Flow_Rate = 0) and (Commanded_Flow_Rate <= Current_System_Mode)));,     
infusion,     p12,     Faulty_Prop12-LOR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     401.757,     400.328,     369.627,     30.701,     28,     28,     13.2,     1.096,     p1 = (((Current_System_Mode > 1) or (Commanded_Flow_Rate <= Current_System_Mode)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p12,     Faulty_Prop12-LOR-0-3,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     4,     1179.649,     1173.444,     1113.741,     59.703,     52,     53,     21.418,     1.126,     p1 = (((not System_On) or (Current_System_Mode <= 8)) and ((Current_System_Mode = 0) xor System_On));,     
infusion,     p12,     Faulty_Prop12-ROR-0--1,     true,    2,    MINIMAL_EXISTS_UKNOWN,     6,     1004.469,     999.849,     947.718,     52.131,     45,     45,     21.06,     1.158,     p1 = (((Current_System_Mode >= 1) xor (not System_On)) and ((Commanded_Flow_Rate = Current_System_Mode) or System_On));,     
infusion,     p12,     Faulty_Prop12-ROR-0-6,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     277.284,     273.607,     226.123,     47.484,     42,     43,     5.383,     1.104,     p1 = (((not System_On) xor (Current_System_Mode > 0)) xor false);,     
