infusion,     p11,     Faulty_Prop11-ROR-1--1-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     43.109,     42.616,     16.56,     26.056,     18,     18,     0.92,     1.447,     p1 = (((Current_System_Mode <= 8) => (Current_System_Mode = 5)) => false);,     
infusion,     p11,     Faulty_Prop11-ROR-0-2-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     215.364,     213.997,     179.74,     34.257,     24,     24,     7.489,     1.427,     p1 = (((Current_System_Mode <= 0) xor System_On) and (System_On or (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p11,     Faulty_Prop11-LOR-1--1-ROR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     29.764,     29.441,     12.377,     17.064,     13,     13,     0.952,     1.312,     p1 = (((Current_System_Mode > 1) => (not System_On)) => (Commanded_Flow_Rate = 0));,     
infusion,     p12,     Faulty_Prop12-ROR-0-2-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     8,     1013.842,     1009.077,     948.528,     60.549,     45,     45,     21.078,     1.345,     p1 = (((Current_System_Mode >= 2) or (Commanded_Flow_Rate = 0)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p12,     Faulty_Prop12-ROR-0-3-ROR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     8,     795.617,     792.37,     741.477,     50.893,     39,     39,     19.012,     1.304,     p1 = (((not System_On) xor (Current_System_Mode > 0)) and ((not System_On) => (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p12,     Faulty_Prop12-LOR-1--1-ROR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     16.108,     15.947,     5.855,     10.092,     8,     8,     0.731,     1.261,     p1 = (((Current_System_Mode = 0) xor (not System_On)) => false);,     
infusion,     p12,     Faulty_Prop12-LOR-0-4-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     619.975,     617.273,     569.824,     47.449,     32,     32,     17.807,     1.482,     p1 = (((Current_System_Mode > 0) xor (not System_On)) and ((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)));,     
infusion,     p12,     Faulty_Prop12-ROR-0-1-ROR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     8,     696.085,     691.935,     630.631,     61.304,     39,     39,     16.17,     1.571,     p1 = (((Current_System_Mode = 0) xor System_On) and ((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)));,     
infusion,     p12,     Faulty_Prop12-ROR-1--1-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     40.349,     39.887,     14.443,     25.444,     18,     18,     0.802,     1.413,     p1 = (((Current_System_Mode > 8) xor (Current_System_Mode = 5)) => false);,     
infusion,     p12,     Faulty_Prop12-ROR-0--1-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     406.642,     405.172,     372.16,     33.012,     26,     26,     14.313,     1.269,     p1 = (((Commanded_Flow_Rate >= 0) and System_On) xor ((Commanded_Flow_Rate = Current_System_Mode) and (Commanded_Flow_Rate = 0)));,     
infusion,     p12,     Faulty_Prop12-LOR-0--1-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     440.012,     438.121,     400.346,     37.775,     27,     27,     14.827,     1.399,     p1 = (((not System_On) xor (Current_System_Mode >= 1)) and ((not System_On) => (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p12,     Faulty_Prop12-ROR-0-1-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     714.885,     711.995,     662.469,     49.526,     32,     32,     20.702,     1.547,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode > 1)) and ((Current_System_Mode < 1) xor System_On));,     
infusion,     p12,     Faulty_Prop12-ROR-2--1-ROR-3-5,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     21.748,     21.576,     7.05,     14.526,     9,     9,     0.783,     1.614,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p12,     Faulty_Prop12-ROR-2-1-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     13.319,     13.215,     4.323,     8.892,     6,     6,     0.72,     1.482,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p12,     Faulty_Prop12-ROR-0-2-ROR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     672.601,     669.238,     615.295,     53.943,     34,     34,     18.096,     1.586,     p1 = (((Current_System_Mode = 0) xor System_On) and ((Current_System_Mode >= 2) or (Commanded_Flow_Rate = 0)));,     
infusion,     p12,     Faulty_Prop12-LOR-0-0-LOR-0-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     355.028,     348.122,     278.572,     69.55,     44,     45,     6.331,     1.545,     p1 = (not ((not System_On) xor (Current_System_Mode = 0)));,     
infusion,     p12,     Faulty_Prop12-LOR-0-4-ROR-0-3,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     630.585,     627.582,     578.101,     49.481,     32,     32,     18.065,     1.546,     p1 = (((Current_System_Mode > 0) xor (not System_On)) and ((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)));,     
infusion,     p12,     Faulty_Prop12-LOR-1--1-ROR-3--1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     17.288,     17.131,     5.739,     11.392,     8,     8,     0.717,     1.424,     p1 = (((Current_System_Mode = 0) xor (not System_On)) => false);,     
